competency_id,competency_name,competency_criteria,skill_id,skill_name,category_id,category_name,level_5_exceptional,level_4_proficient,level_3_competent,level_2_needs_guidance,level_1_inadequate
1,Data Manipulation,"Can efficiently manipulate large datasets using pandas (groupby, merge, pivot) and other Python data libraries",1,Python,1,Programming,"Implements highly optimized data manipulation solutions using advanced techniques and data structures (e.g., efficient algorithms, generators, custom classes). Proactively anticipates and addresses complex edge cases while clearly articulating performance tradeoffs and design choices.","Competently solves data manipulation problems using standard Python libraries (e.g., pandas, NumPy) and handles common edge cases effectively. Explains the reasoning behind their solution and justifies data structure/algorithm choices clearly.","Correctly manipulates data using Python libraries, potentially requiring minor guidance on optimal approaches. Can explain the solution but may miss some edge cases or struggle to articulate the rationale behind design choices.","Requires significant guidance to manipulate data, demonstrating a limited understanding of appropriate data structures or algorithms. Struggles to handle basic edge cases or explain the logic behind the code.",Demonstrates a fundamental lack of understanding of Python data manipulation principles and is unable to formulate a viable solution even with significant prompting. Cannot explain basic concepts related to data manipulation.
2,Object-Oriented & Design Patterns,"Can design and implement classes in Python using OOP principles and apply common design patterns (Factory, Singleton, etc.)",1,Python,1,Programming,"Demonstrates expert-level proficiency in object-oriented principles and design patterns, crafting elegant and highly maintainable solutions; proactively identifies and mitigates potential design flaws while clearly articulating trade-offs and justifications for complex architectural decisions.",Confidently applies object-oriented principles and commonly used design patterns to solve complex problems efficiently; explains design choices clearly and demonstrates a strong understanding of the benefits and drawbacks of different approaches.,Understands and applies basic object-oriented principles and can implement simple design patterns in standard scenarios; identifies common OOP concepts and can explain the purpose of chosen patterns with some prompting.,Demonstrates a limited understanding of object-oriented principles and struggles to apply them effectively; requires significant guidance to implement even basic design patterns and may not fully grasp the underlying concepts.,Shows a fundamental lack of understanding of object-oriented programming principles and design patterns; is unable to apply even basic concepts and cannot explain their purpose or benefits.
3,Asynchronous Programming,Can create and manage asynchronous tasks using asyncio and async/await for high-concurrency applications,1,Python,1,Programming,"Designs and implements highly performant and scalable asynchronous solutions utilizing advanced `asyncio` features, demonstrating deep understanding of concurrency patterns and potential bottlenecks. Clearly articulates complex design choices and trade-offs with clarity, proactively suggesting optimizations and industry best practices.","Implements asynchronous code effectively using `async` and `await` with a strong understanding of event loops and asynchronous I/O, exhibiting proficiency in handling concurrency and potential race conditions. Explains technical decisions clearly and provides reasoned justifications for design choices.","Can write and execute basic asynchronous functions and coroutines using `asyncio`, demonstrating a functional understanding of how to create and manage asynchronous tasks. Explains fundamental asynchronous programming concepts, but may struggle with more complex scenarios or optimizations.","Demonstrates some familiarity with `async` and `await`, but struggles to apply them correctly without assistance, often exhibiting misunderstandings about event loops or blocking operations. Requires prompting to implement asynchronous solutions and explain related concepts effectively.","Shows little to no understanding of asynchronous programming concepts or the `asyncio` library, and cannot write or explain basic asynchronous code even with significant prompting. Fails to grasp the fundamental principles of non-blocking I/O or concurrent execution."
4,Functional Programming,"Can leverage built-in functions (map, filter, reduce) and comprehensions for cleaner, more efficient code",1,Python,1,Programming,Fluently utilizes advanced functional programming techniques like currying or composition to create highly efficient and readable code. Explains the benefits and drawbacks of different functional programming approaches with nuanced understanding and can apply them creatively to complex problems.,"Confidently implements solutions using `map`, `filter`, `reduce`, and lambda expressions, demonstrating a strong understanding of their usage and benefits. Clearly explains the importance of immutability and pure functions in the context of functional programming and avoids side effects effectively.","Applies `map`, `filter`, and `reduce` to solve standard problems, though may require some guidance on more complex scenarios. Understands the basic principles of functional programming but might not always choose the most efficient or elegant solution.","Demonstrates a basic awareness of functional programming concepts but struggles to apply them effectively without significant prompting.  May resort to iterative solutions instead of leveraging functional constructs, and struggles to explain the advantages of functional programming.","Shows little to no understanding of functional programming paradigms in Python and is unable to use functions like `map`, `filter`, or `reduce`.  Cannot articulate the basic concepts of functional programming even with prompting."
5,Error Handling & Debugging,"Can implement robust exception handling and use Python debugging tools (pdb, logging) effectively",1,Python,1,Programming,"Quickly identifies the root cause of complex errors in Python code and proactively implements comprehensive and elegant error handling using techniques such as custom exceptions and logging. Optimizes error messages for clarity and maintainability, and can debug efficiently using advanced tools like remote debuggers.","Efficiently debugs Python code using standard debugging tools and implements robust error handling with specific exception types, including appropriate logging and error message context. Explains the rationale behind chosen error handling strategies clearly and can suggest improvements to existing error handling.","Correctly uses `try...except` blocks in Python to handle common exceptions and can debug code using print statements and basic debugging tools. Can identify and fix simple errors with some guidance, and explains basic error handling concepts adequately.",Demonstrates basic familiarity with error handling concepts in Python but struggles to identify and fix errors without significant assistance or prompting. May rely on trial and error and catch generic exceptions without understanding the specific error types involved.,"Shows fundamental misunderstanding of Python error handling principles and cannot effectively debug even simple code snippets. Is unable to articulate the purpose of error handling or use basic debugging tools effectively, and demonstrates a lack of awareness regarding exception types."
6,Performance Optimization,"Can profile Python code (using cProfile, line_profiler) and optimize bottlenecks for better performance",1,Python,1,Programming,"Proactively identifies subtle performance bottlenecks and implements innovative optimizations, demonstrating a deep understanding of Python internals and clearly articulating complex tradeoffs.",Confidently identifies common performance issues and applies appropriate optimization techniques with strong understanding of algorithmic complexity and data structures; effectively communicates technical decisions.,Recognizes basic performance problems and implements standard optimization techniques with some guidance; demonstrates familiarity with common Python performance tools and communicates basic ideas adequately.,Struggles to identify performance bottlenecks and requires significant assistance implementing optimizations; demonstrates limited understanding of relevant concepts and struggles to explain technical choices.,Fails to identify performance issues and cannot implement basic optimization techniques; demonstrates a fundamental lack of understanding of Python performance characteristics and cannot articulate related concepts even with prompting.
7,Package & Dependency Management,"Can manage environments and dependencies with pip, conda, or Poetry",1,Python,1,Programming,"Demonstrates expert-level understanding by explaining advanced package management topics like dependency resolution algorithms or custom package repositories. Proposes and justifies optimal dependency management strategies based on project requirements and constraints, including security considerations.","Effectively manages dependencies using tools like `pip` and virtual environments, and creates comprehensive `requirements.txt` files. Explains the rationale behind chosen approaches and can troubleshoot common dependency-related issues with minimal guidance.","Demonstrates a working knowledge of package management by installing, uninstalling, and listing packages using `pip`. Creates basic `requirements.txt` files and can use virtual environments with some guidance.","Shows basic familiarity with `pip` and virtual environments, but struggles to manage dependencies effectively without significant assistance. Requires prompting to create even simple `requirements.txt` files or resolve dependency conflicts.","Demonstrates a lack of understanding of basic package and dependency management concepts. Is unable to use `pip` or virtual environments effectively, even with detailed instructions."
8,Testing,"Can write unit and integration tests using pytest or unittest, including mocking and coverage",1,Python,1,Programming,"Implements comprehensive and well-structured unit tests, demonstrating a deep understanding of testing methodologies and edge cases. Explains the rationale behind test choices and can readily refactor tests for improved maintainability and coverage.",Writes clear and effective unit tests covering common scenarios and identifies potential failure points. Explains the purpose and structure of the tests and can debug code using test results.,"Writes basic unit tests for given functions or methods, demonstrating a foundational understanding of testing principles. Requires some guidance on more complex test cases or debugging using tests.","Attempts to write unit tests but struggles with syntax, structure, and test coverage. Needs significant prompting to identify testable scenarios and debug code using tests.",Shows little to no understanding of testing concepts and is unable to write even basic unit tests. Cannot explain the purpose or benefits of testing in software development.
9,Documentation & Type Hints,"Can write clear docstrings (Google or NumPy style), generate Sphinx docs, and use type hints for maintainability",1,Python,1,Programming,"Consistently and proactively incorporates comprehensive docstrings and advanced type hints, demonstrating expert knowledge and clearly articulating their benefits in large-scale projects. Proposes improvements to existing documentation and type hinting practices, leveraging advanced typing features and tools.","Routinely and correctly utilizes comprehensive docstrings and accurate type hints, adhering to industry best practices, and effectively refactors code to improve documentation and type safety. Explains the rationale behind documentation and type hint choices with clarity and demonstrates a strong understanding of their benefits.","Understands and applies basic docstrings and type hints in standard scenarios, providing adequate documentation and type annotations. May require some guidance for more complex scenarios or less common type hints, and demonstrates a general awareness of their purpose.","Shows some familiarity with docstrings and type hints, but often omits them or uses them incorrectly, requiring prompting. Struggles to explain the benefits or consistently apply them, and may demonstrate an incomplete understanding of their usage.","Lacks a fundamental understanding of docstrings and type hints, failing to apply them even in basic scenarios. Is unable to articulate basic concepts related to documentation and type hinting, even when prompted."
10,Data Manipulation,"Can use dplyr, tidyr, and other tidyverse tools for efficient data wrangling",2,R,1,Programming,"Implements optimal data manipulation solutions utilizing advanced R features like `data.table` or metaprogramming, demonstrating a deep understanding of performance trade-offs and memory management. Articulates multiple approaches, justifying choices with clear and concise explanations of their complexities and implications.","Confidently manipulates data using `dplyr` or other standard R packages, producing clean, readable, and efficient code that addresses common edge cases. Explains technical decisions with clarity, showcasing a robust understanding of data manipulation principles and best practices.","Applies basic R data manipulation techniques with some guidance, correctly implementing solutions for standard scenarios. Communicates basic concepts adequately but may struggle with complex transformations or optimization of code.","Demonstrates limited familiarity with R data manipulation, requiring significant assistance to implement basic transformations. Struggles to explain technical decisions or debug code independently, often producing inefficient or incorrect solutions.","Shows a fundamental misunderstanding of R data manipulation principles, failing to implement even basic transformations correctly. Cannot articulate basic concepts or troubleshoot code effectively, even when provided with guidance."
