category,skill,competency,criteria
Programming,Python,Data Manipulation,"Can efficiently manipulate large datasets using pandas (groupby, merge, pivot) and other Python data libraries"
Programming,Python,Object-Oriented & Design Patterns,"Can design and implement classes in Python using OOP principles and apply common design patterns (Factory, Singleton, etc.)"
Programming,Python,Asynchronous Programming,"Can create and manage asynchronous tasks using asyncio and async/await for high-concurrency applications"
Programming,Python,Functional Programming,"Can leverage built-in functions (map, filter, reduce) and comprehensions for cleaner, more efficient code"
Programming,Python,Error Handling & Debugging,"Can implement robust exception handling and use Python debugging tools (pdb, logging) effectively"
Programming,Python,Performance Optimization,"Can profile Python code (using cProfile, line_profiler) and optimize bottlenecks for better performance"
Programming,Python,Package & Dependency Management,"Can manage environments and dependencies with pip, conda, or Poetry"
Programming,Python,Testing,"Can write unit and integration tests using pytest or unittest, including mocking and coverage"
Programming,Python,Documentation & Type Hints,"Can write clear docstrings (Google or NumPy style), generate Sphinx docs, and use type hints for maintainability"
Programming,R,Data Manipulation,"Can use dplyr, tidyr, and other tidyverse tools for efficient data wrangling"
Programming,R,Statistical Analysis,"Can perform descriptive and inferential statistics using base R, stats, and other packages"
Programming,R,ggplot2 & Visualization,"Can create sophisticated plots with ggplot2 using the grammar of graphics"
Programming,R,R Markdown & Reporting,"Can produce reproducible reports, dashboards, and presentations with R Markdown and Shiny"
Programming,R,Performance & Parallelization,"Understands strategies for parallel computing (e.g., parallel, foreach) to speed up R workflows"
Programming,Java,Core Libraries,"Understands Java collections, concurrency utilities, and I/O classes for building robust applications"
Programming,Java,Generics,"Can design and use generic classes and methods for type-safe reusable components"
Programming,Java,Concurrency,"Can write thread-safe code using synchronized blocks, locks, and concurrent data structures"
Programming,Java,Build & Dependency Management,"Can manage project builds and dependencies with Maven or Gradle"
Programming,Java,Unit Testing,"Writes comprehensive tests using JUnit or TestNG, including parameterized tests and coverage analysis"
Programming,Java,Spring Framework,"Understands Spring Boot for building RESTful services and dependency injection mechanisms"
Programming,JavaScript,DOM Manipulation,"Can efficiently select and manipulate DOM elements using vanilla JavaScript or frameworks"
Programming,JavaScript,ES6+ Features,"Understands modern JavaScript syntax (arrow functions, destructuring, modules) and applies best practices"
Programming,JavaScript,Asynchronous Patterns,"Uses callbacks, Promises, and async/await for non-blocking operations"
Programming,JavaScript,Node.js,"Builds server-side applications, handles routing, and manages packages via npm or Yarn"
Programming,JavaScript,Frontend Frameworks,"Can create SPA or component-based UIs using React, Vue, or Angular"
Programming,JavaScript,Testing,"Writes unit tests using Jest, Mocha, or Cypress for front-end and back-end code"
Programming,Shell & Command Line,Bash Scripting,"Can write shell scripts to automate tasks (loops, conditionals, functions) in Unix-like environments"
Programming,Shell & Command Line,Command Line Tools,"Uses awk, sed, grep, and other CLI tools to perform text processing and data manipulation"
Programming,Shell & Command Line,Scripting Automation,"Sets up cron jobs or similar schedulers to run shell scripts and automated pipelines"
Programming,Go (Optional),Core Concepts,"Understands Go routines, channels, and the Go memory model for concurrent applications"
Programming,Go (Optional),Dependency Management,"Uses modules (go.mod) for versioning and dependency resolution"
Programming,Go (Optional),Testing & Benchmarking,"Writes tests using the built-in testing package, including benchmarks for performance insights"
Programming,C++ (Optional),Memory Management,"Understands manual memory allocation (new/delete), RAII, and smart pointers"
Programming,C++ (Optional),Templates & STL,"Can use templates effectively and leverage the Standard Template Library (STL) algorithms and containers"
Programming,C++ (Optional),Performance Optimization,"Can apply profiling tools to optimize compile-time and runtime performance"
Data Visualization,Python Data Visualization Libraries,Matplotlib,"Can create publication-quality figures with proper labeling, legends, and style customizations"
Data Visualization,Python Data Visualization Libraries,Seaborn,"Can produce statistical and aesthetic plots with high-level APIs for quick visual insights"
Data Visualization,Python Data Visualization Libraries,Plotly,"Can build interactive, web-based visualizations suitable for dashboards"
Data Visualization,Python Data Visualization Libraries,Bokeh,"Can create interactive data apps with zooming, panning, and live updates"
Data Visualization,Python Data Visualization Libraries,Altair,"Understands declarative plotting and can create complex layered visualizations"
Data Visualization,Business Intelligence Tools,Tableau,"Can build interactive dashboards, use calculated fields, and create story points"
Data Visualization,Business Intelligence Tools,Power BI,"Can model data, create DAX measures, and build visually appealing reports"
Data Visualization,Business Intelligence Tools,Looker (Optional),"Understands LookML concepts and can design scalable analytics dashboards"
Data Visualization,Web-based Visualization,D3.js,"Can build custom, interactive data-driven visualizations using SVG, Canvas, or WebGL"
